,Object Number,Is Highlight,Is Public Domain,Object ID,Department,Title,Culture,Artist Display Name,Artist Display Bio,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,Country,Classification,Link Resource,Metadata Date,Repository
791,11.60.149,False,True,253,American Decorative Arts,Armchair,American,Unknown,1711-1771,Unknown,American,1711,1771,1740–60,1740,1760,"Walnut, ash, mahogany",36 x 22 3/4 x 20 3/4 in. (91.4 x 57.8 x 52.7 cm),"Bequest of Maria P. James, 1910",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/253,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
792,30.120.7,False,True,254,American Decorative Arts,Armchair,American,Unknown,1761-1821,Unknown,American,1761,1821,1790–1800,1790,1800,Mahogany,38 x 22 5/8 x 17 1/8 in. (96.5 x 57.5 x 43.5 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/254,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
793,30.120.76,False,True,255,American Decorative Arts,Armchair,Canadian,Unknown,1771-1831,Unknown,Canadian,1771,1831,1800–1830,1800,1830,Birch,37 3/4 x 22 1/4 x 18 1/4 in. (95.9 x 56.5 x 46.4 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,Canada,Furniture,http://www.metmuseum.org/art/collection/search/255,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
794,32.55.6,False,True,257,American Decorative Arts,Armchair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1805,1795,1805,"Mahogany, satinwood inlay, ash",38 1/4 x 22 3/4 x 17 3/8 in. (97.2 x 57.8 x 44.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1932",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/257,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
795,32.55.7,False,False,258,American Decorative Arts,Armchair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1805,1795,1805,"Mahogany, satinwood inlay, ash",38 1/4 x 22 3/4 x 17 3/8 in. (97.2 x 57.8 x 44.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1932",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/258,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
796,46.67.97,False,True,259,American Decorative Arts,Armchair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",36 3/4 x 23 x 18 in. (93.3 x 58.4 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/259,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
797,46.67.98,False,True,260,American Decorative Arts,Armchair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",36 3/4 x 23 x 18 in. (93.3 x 58.4 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/260,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
798,57.130.2,False,True,261,American Decorative Arts,Armchair,American,Unknown,1821-1881,Unknown,American,1821,1881,1850–60,1850,1860,"Rosewood, ash",50 x 26 1/2 x 23 in. (127 x 67.3 x 58.4 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/261,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
799,57.130.3,False,False,262,American Decorative Arts,Armchair,American,Unknown,1821-1881,Unknown,American,1821,1881,1850–60,1850,1860,"Rosewood, ash",49 1/2 x 26 1/2 x 22 1/2 in. (125.7 x 67.3 x 57.2 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/262,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
800,1971.17.1,False,True,263,American Decorative Arts,Square-back armchair,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1810,1800,1810,"Mahogany, cane",33 3/4 x 21 1/8 x 21 in. (85.7 x 53.7 x 53.3 cm),"Purchase, Mrs. Russell Sage Gift, 1971",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/263,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
801,1971.17.2,False,True,264,American Decorative Arts,Square-back armchair,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1810,1800,1810,Mahogany and cane,33 3/4 x 21 1/8 x 21 3/8 in. (85.7 x 53.7 x 54.3 cm),"Purchase, Mrs. Russell Sage Gift, 1970",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/264,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
802,Inst.X.6.1,False,False,279,American Decorative Arts,Furniture Hardware,American,Unknown,1771-1831,Unknown,American,1771,1831,19th century,1800,1900,Brass,Dimensions unavailable,Museum Accession,Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/279,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
803,68.111.1,False,True,280,American Decorative Arts,Astral Lamp,American,Archer and Warner,"American, Philadelphia, Pennsylvania",Archer and Warner,American,1823,1883,ca. 1855,1852,1855,"Brass, glass",21 1/2 x 9 3/4 in. (54.6 x 24.8 cm),"Purchase, Anonymous Gift, 1968",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/280,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
804,68.111.2,False,True,281,American Decorative Arts,Astral Lamp,American,Henry N. Hooper,1828-1888,Henry N. Hooper,American,1828,1888,ca. 1860,1857,1860,"Bronze, glass",H. 26 1/4 in. (66.7 cm); Diam. 9 1/2 in. (24.1 cm),"Purchase, Anonymous Gift, 1968",Probably made in,United States,Metal,http://www.metmuseum.org/art/collection/search/281,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
805,1982.287a–c,False,True,283,American Decorative Arts,Aviary,American,Unknown,1818-1878,Unknown,American,1818,1878,ca. 1850–60,1847,1860,"Wool, twigs, moss, brass, glass",H. 29 1/2 in. (74.9 cm); Diam. 16 3/4 in. (42.5 cm),"Friends of the American Wing Fund, 1982",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/283,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
806,47.90.159,False,True,284,American Decorative Arts,Figure of a Baby in a Cradle Holding a Kitten,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–70,1830,1870,Parian porcelain,4 3/8 x 6 1/2 x 3 1/8 in. (11.1 x 16.5 x 7.9 cm),"Gift of Dr. Charles W. Green, 1947",Probably made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/284,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
807,34.100.222,False,True,299,American Decorative Arts,Baking Dish,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1830,1800,1830,Earthenware,H. 3 3/4 in. (9.5 cm); Diam. 12 1/4 in. (31.1 cm),"Gift of Mrs. Robert W. de Forest, 1933",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/299,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
808,17.201,False,True,300,American Decorative Arts,Balcony,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1830,1800,1830,Wrought iron,44 1/2 x 242 in. (113 x 614.7 cm),"Rogers Fund, 1917",Made in,United States,Architecture,http://www.metmuseum.org/art/collection/search/300,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
809,30.120.276,False,False,301,American Decorative Arts,Ball,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1850,1800,1850,Free-blown amethyst glass,Diam. 8 in. (20.3 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/301,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
810,30.120.275,False,False,303,American Decorative Arts,Ball,American,Unknown,1771-1831,Unknown,American,1771,1831,1800–1850,1800,1850,Free-blown amethyst glass,Diam. 7 1/2 in. (19.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/303,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
811,17.116.2,False,False,304,American Decorative Arts,"Panel from the Ballroom at Gadsby's Tavern, Alexandria, Virginia",American,Unknown,1763-1823,Unknown,American,1763,1823,1792–93,1792,1793,Wood,13 ft. 9 in. x 24 ft. 2 1/2 in. x 50 ft. 9 1/2 in.,"Rogers Fund, 1917",Made in,United States,Architecture,http://www.metmuseum.org/art/collection/search/304,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
812,1971.180.106,False,False,312,American Decorative Arts,Baluster Vase,Chinese,Unknown,1771-1831,Unknown,Chinese,1771,1831,1800–1900,1800,1900,Porcelain,H. 9 7/16 in. (24 cm),"Bequest of Flora E. Whiting, 1971",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/312,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
813,1971.180.107,False,False,313,American Decorative Arts,Baluster Vase,Chinese,Unknown,1771-1831,Unknown,Chinese,1771,1831,1800–1900,1800,1900,Porcelain,H. 9 1/4 in. (23.5 cm),"Bequest of Flora E. Whiting, 1971",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/313,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
814,1971.180.108,False,False,314,American Decorative Arts,Baluster Vase,Chinese,Unknown,1771-1831,Unknown,Chinese,1771,1831,1800–1900,1800,1900,Porcelain,H. 9 1/8 in. (23.2 cm),"Bequest of Flora E. Whiting, 1971",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/314,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
815,11.87.85,False,False,319,American Decorative Arts,Baptismal Basin,Mexican,Unknown,1846-1906,Unknown,Mexican,1846,1906,1875–1900,1875,1900,Tin-glazed earthenware,Diam. 16 3/4 in. (42.5 cm),"Gift of Mrs. Robert W. de Forest, 1911",Made in,Mexico,Ceramics,http://www.metmuseum.org/art/collection/search/319,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
816,17.203.28,False,True,323,American Decorative Arts,Baptismal Certificate,American,Unknown,1778-1838,Unknown,American,1778,1838,1807,1807,1807,Paper,9 3/4 x 11 3/8 in. (24.8 x 28.9 cm),"Rogers Fund, 1917",Possibly made in|Possibly made in,United States,Drawings,http://www.metmuseum.org/art/collection/search/323,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
817,40.150.13,False,True,326,American Decorative Arts,Bar Bottle,American,Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Free-blown molded aquamarine glass,H. 10 7/8 in. (27.6 cm),"Bequest of Constance R. Brown, 1939",Probably made in,United States,Glass,http://www.metmuseum.org/art/collection/search/326,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
818,13.7.10,False,False,327,American Decorative Arts,Barrel Mug,American,Unknown,1671-1731,Unknown,American,1671,1731,1700–1900,1700,1900,Earthenware,5 3/4 x 6 x 4 5/8 in. (14.6 x 15.2 x 11.7 cm),"Rogers Fund, 1913",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/327,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
819,13.7.11,False,False,328,American Decorative Arts,Barrel Mug,American,Unknown,1671-1731,Unknown,American,1671,1731,1700–1900,1700,1900,Probably earthenware,4 1/8 x 4 5/8 x 3 5/8 in. (10.5 x 11.7 x 9.2 cm),"Rogers Fund, 1913",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/328,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
820,10.125.599z (22),False,True,329,American Decorative Arts,Keg,American,Unknown,1671-1731,Unknown,American,1671,1731,1700–1800,1700,1800,"Wood; Cedar, iron",20 1/2 x 10 1/2 in. (52.1 x 26.7 cm),"Gift of Mrs. Russell Sage, 1909",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/329,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
821,11.87.23,False,False,331,American Decorative Arts,Basin,Mexican,Unknown,1768-1828,Unknown,Mexican,1768,1828,ca. 1800,1797,1800,Tin-glazed earthenware,Diam. 11 1/4 in. (28.6 cm),"Gift of Mrs. Robert W. de Forest, 1911",Made in,Mexico,Ceramics,http://www.metmuseum.org/art/collection/search/331,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
822,34.100.224,False,False,332,American Decorative Arts,Basin,American,Unknown,1831-1891,Unknown,American,1831,1891,1860–1900,1860,1900,Earthenware with slip decoration,H. 6 in. (15.2 cm); Diam. 14 in. (35.6 cm),"Gift of Mrs. Robert W. de Forest, 1933",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/332,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
823,38.87.2,False,True,333,American Decorative Arts,Basin,Chinese,Unknown,1796-1856,Unknown,Chinese,1796,1856,1825–45,1825,1845,Porcelain,H. 4 1/4 in. (10.8); Diam. 14 1/2 in. (36.8 cm),"Gift of Mrs. Henry M. Ferriday, 1938",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/333,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
824,43.162.44,False,True,334,American Decorative Arts,Basin,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–80,1760,1780,Pewter,H. 2 in. (5.1 cm); Diam. 8 in. (20.3 cm),"Gift of Joseph France, 1943",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/334,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
825,1983.206.8,False,False,338,American Decorative Arts,Wash basin,American,J. Eberly and Company,1863-1923,J. Eberly and Company,American,1863,1923,1892–1903,1892,1903,Earthenware with slip decoration,Diam. 13 1/2 in. (34.3 cm),"Gift of Mr. and Mrs. Stanley Herzman, 1983",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/338,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
826,39.185.9,False,True,340,American Decorative Arts,Basin,American,Sylvester Griswold,1788-1848,Sylvester Griswold,American,1788,1848,ca. 1820,1817,1820,Pewter,1 5/8 x 6 5/8 x 6 5/8 in. (4.1 x 16.8 x 16.8 cm),"Gift of Mrs. J. Insley Blair, 1939",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/340,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
827,14.102.132,False,True,349,American Decorative Arts,Basin,British (American market),Unknown,1784-1844,Unknown,British,1784,1844,ca. 1816–ca. 1830,1813,1833,"Earthenware, transfer-printed",Diam. 13 3/4 in. (34.9 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,England,Ceramics,http://www.metmuseum.org/art/collection/search/349,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
828,1982.91.1,False,True,350,American Decorative Arts,Basin,British (American market),Unknown,1828-1888,Unknown,British,1828,1888,1857–90,1857,1890,Earthenware,H. 13 in. (33 cm),"Friends of the American Wing Fund, 1982",Made in,England,Ceramics,http://www.metmuseum.org/art/collection/search/350,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
829,17.64.3,False,True,352,American Decorative Arts,Basin Stand,American,Unknown,1786-1846,Unknown,American,1786,1846,1815–20,1815,1820,Mahogany,33 3/4 x 18 x 18 in. (85.7 x 45.7 x 45.7 cm),"Gift of William R. Stewart, 1917",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/352,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
830,17.64.4,False,True,353,American Decorative Arts,Basin Stand,American,Unknown,1786-1846,Unknown,American,1786,1846,1815–20,1815,1820,Mahogany,33 3/4 x 18 x 18 in. (85.7 x 45.7 x 45.7 cm),"Gift of William R. Stewart, 1917",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/353,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
831,46.140.668,False,True,356,American Decorative Arts,Basket,American,Unknown,1851-1911,Unknown,British,1851,1911,1880–90,1880,1890,Pressed purple marble glass,2 3/8 x 4 5/8 in. (6 x 11.7 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,England,Glass,http://www.metmuseum.org/art/collection/search/356,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
832,51.171.93,False,False,358,American Decorative Arts,Basket,American,Unknown,1801-1861,Unknown,British,1801,1861,1830–1900,1830,1900,Lacy pressed blue glass,4 7/16 x 5 1/4 x 7 5/16 in. (11.3 x 13.3 x 18.6 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Made in,England,Glass,http://www.metmuseum.org/art/collection/search/358,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
833,66.165.1,False,False,359,American Decorative Arts,Basket,"American, Shaker",Unknown,1771-1831,Unknown,American,1771,1831,1800–1900,1800,1900,"Wood, wicker",5 7/8 x 9 3/4 x 9 3/4 in. (14.9 x 24.8 x 24.8 cm),"Rogers Fund, 1966",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/359,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
834,66.165.2,False,False,360,American Decorative Arts,Basket,"American, Shaker",Unknown,1771-1831,Unknown,American,1771,1831,1800–1900,1800,1900,"Wood, wicker",12 1/4 x 19 1/2 x 14 1/4 in. (31.1 x 49.5 x 36.2 cm),"Rogers Fund, 1966",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/360,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
835,1984.444.1,False,False,361,American Decorative Arts,Basket,"American, Shaker",Unknown,1771-1831,Unknown,American,1771,1831,1800–1900,1800,1900,Wood; Ash,17 x 14 in. (43.2 x 35.6 cm),"Gift of Mrs. G. James Fawcett, in memory of John S. Rudd, 1984",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/361,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
836,1985.40.15,False,False,362,American Decorative Arts,Basket,"American, Shaker",Unknown,1771-1831,Unknown,American,1771,1831,1800–1900,1800,1900,Wood; Oak,18 1/2 x 13 1/2 in. (47 x 34.3 cm),"Gift of Mrs. G. James Fawcett, in memory of John S. Rudd, 1985",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/362,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
837,46.140.666,False,True,365,American Decorative Arts,Basket,American,Unknown,1851-1911,Unknown,British,1851,1911,1880–90,1880,1890,Pressed purple marble glass,4 1/2 x 6 1/4 in. (11.4 x 15.9 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,England,Glass,http://www.metmuseum.org/art/collection/search/365,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
838,46.140.667,False,True,366,American Decorative Arts,Basket,American,Unknown,1851-1911,Unknown,British,1851,1911,1880–90,1880,1890,Pressed purple marble glass,4 1/2 x 6 1/4 in. (11.4 x 15.9 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,England,Glass,http://www.metmuseum.org/art/collection/search/366,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
839,37.96.1,False,True,367,American Decorative Arts,"Batten Door from the Williams House, near Preston, Connecticut",American,Unknown,1641-1701,Unknown,American,1641,1701,1670–1700,1670,1700,Pine,72 x 32 1/2 in. (182.9 x 82.6 cm),"Rogers Fund, 1937",Made in,United States,Architecture,http://www.metmuseum.org/art/collection/search/367,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
840,37.96.2,False,True,368,American Decorative Arts,"Batten Door from the Williams House, near Preston, Connecticut",American,Unknown,1641-1701,Unknown,American,1641,1701,1670–1700,1670,1700,Pine,74 x 31 in. (188 x 78.7 cm),"Rogers Fund, 1937",Made in,United States,Architecture,http://www.metmuseum.org/art/collection/search/368,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
841,20.109.14,False,False,369,American Decorative Arts,Oil Cruet,European,Unknown,1771-1831,Unknown,American,1771,1831,1800–1900,1800,1900,Earthenware,H. 6 5/8 in. (16.8 cm),"Gift of Robert Macauley Jackson, 1920",Probably made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/369,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
842,14.11.25,False,True,370,American Decorative Arts,Beaker,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–70,1830,1870,Mottled brown earthenware,H. 3 3/8 in. (8.6 cm); Diam. 3 1/16 in. (7.8 cm),"Rogers Fund, 1914",Probably made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/370,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
843,14.75.1,False,True,371,American Decorative Arts,Pulque Beaker,Spanish,Unknown,1746-1806,Unknown,American,1746,1806,1775–1825,1775,1825,Non-lead glass,H. 11 3/4 in. (29.8 cm); Diam. 8 7/8 in. (22.5 cm),"Rogers Fund, 1914",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/371,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
844,14.75.2,False,True,372,American Decorative Arts,Pulque Beaker,Spanish,Unknown,1746-1806,Unknown,Spanish,1746,1806,1775–1825,1775,1825,Flint,H. 11 3/4 in. (29.8 cm); Diam. 8 7/8 in. (22.5 cm),"Rogers Fund, 1914",Made in,Spain,Glass,http://www.metmuseum.org/art/collection/search/372,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
845,52.77.21,False,True,373,American Decorative Arts,Beaker,British,Unknown,1733-1793,Unknown,British,1733,1793,ca. 1765,1762,1765,Opaque glass with enamel decoration,H. 8 in. (20.3 cm),"Bequest of Mrs. J. Insley Blair, 1951",Probably made in,England,Glass,http://www.metmuseum.org/art/collection/search/373,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
846,52.77.22,False,True,374,American Decorative Arts,Beaker,British,Unknown,1731-1791,Unknown,British,1731,1791,1760–65,1760,1765,Opaque glass with enamel decoration,H. 7 1/4 in. (18.4 cm),"Bequest of Mrs. J. Insley Blair, 1951",Probably made in,England,Glass,http://www.metmuseum.org/art/collection/search/374,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
847,33.120.106,False,True,411,American Decorative Arts,Beaker,American or British,S. D.,1651-1711,S. D.,British,1651,1711,1680–1730,1680,1730,Silver,"Overall: H. 3 1/16 in. (7.8 cm); 3 oz. 17 dwt. (119.5 g)
Lip: Diam. 3 1/8 in. (7.9 cm)
Base: Diam. 2 5/8 in. (6.7 cm)","Bequest of Alphonso T. Clearwater, 1933",Possibly made in|Possibly made in,United States|England,Silver,http://www.metmuseum.org/art/collection/search/411,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
848,52.77.3,False,True,417,American Decorative Arts,Beaker,British,Unknown,1731-1791,Unknown,British,1731,1791,1760–65,1760,1765,Opaque glass with enamel decoration,H. 7 1/8 in. (18.1 cm),"Bequest of Mrs. J. Insley Blair, 1951",Probably made in,England,Glass,http://www.metmuseum.org/art/collection/search/417,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
849,52.77.4,False,True,418,American Decorative Arts,Beaker,British,Unknown,1731-1791,Unknown,British,1731,1791,1760–65,1760,1765,Opaque glass with enamel decoration,6 3/4 × 4 × 4 in. (17.1 × 10.2 × 10.2 cm),"Bequest of Mrs. J. Insley Blair, 1951",Probably made in,England,Glass,http://www.metmuseum.org/art/collection/search/418,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
850,1971.180.109,False,False,432,American Decorative Arts,Beaker Vase,Chinese,Unknown,1771-1831,Unknown,Chinese,1771,1831,1800–1900,1800,1900,Porcelain,H. 9 1/2 in. (24.1 cm); Diam. 4 3/4 in. (12.1 cm),"Bequest of Flora E. Whiting, 1971",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/432,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
851,1971.180.110,False,False,433,American Decorative Arts,Beaker Vase,Chinese,Unknown,1771-1831,Unknown,Chinese,1771,1831,1800–1900,1800,1900,Porcelain,H. 9 1/2 in. (24.1 cm); Diam. 4 5/8 in. (11.7 cm),"Bequest of Flora E. Whiting, 1971",Made in,China,Ceramics,http://www.metmuseum.org/art/collection/search/433,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
852,1980.357,False,True,435,American Decorative Arts,Bear figure and spill holder,American,Parker Pottery,1821-1881,Parker Pottery,American,1821,1881,ca. 1850–75,1850,1875,"Earthenware; Redware with slip decoration
",H. 6 in. (15.2 cm),"Friends of the American Wing Fund, 1980",Made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/435,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
853,10.125.335,False,True,436,American Decorative Arts,Folding Bedstead,American,Unknown,1711-1771,Unknown,American,1711,1771,1740–90,1740,1790,Maple,77 1/2 x 52 3/4 x 76 in. (196.9 x 134 x 193 cm),"Gift of Mrs. Russell Sage, 1909",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/436,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
854,10.125.336,False,True,437,American Decorative Arts,Bedstead,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",88 1/8 x 61 1/4 x 77 in. (223.8 x 155.6 x 195.6 cm),"Gift of Mrs. Russell Sage, 1909",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/437,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
855,"46.194.6a, b",False,True,438,American Decorative Arts,Bedstead,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Tulip poplar, Atlantic white cedar, pine",99 1/8 x 66 x 84 1/2 in. (251.8 x 167.6 x 214.6 cm),"Gift of Mrs. J. Insley Blair, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/438,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
856,49.91a–c,False,True,439,American Decorative Arts,Bedstead,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–1800,1760,1800,"Birch, white pine",96 1/2 x 56 1/4 x 77 1/4 in. (245.1 x 142.9 x 196.2 cm),"Purchase, Joseph Pulitzer Bequest, 1949",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/439,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
